"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"CONN-TH_AV-5";1;"AV-5";;;
2;"J1";"FPC-SMD_10P-P1.00-L3.4-W13.0";1;"AFB10-S10LCA-00";;;
3;"U1";"SOT-23-3";1;"XC6206PxxxMR";;;
4;"R1,R7,R4,R3,R5,R6,R2";"R_0603_1608Metric";7;"1K";;;
5;"C1,C2";"C_0805_2012Metric";2;"1uf";;;
6;"J2";"U-B-M9DD-W-1";1;"U-B-M9DD-W-1";;;
