Id,Designator,Footprint,Quantity,Designation,Supplier and ref,,
1,J3,CONN-TH_AV-5,1,AV-5,BOOMELE(Boom Precision Elec) AV-5,,
2,J1,FPC-SMD_10P-P1.00-L3.4-W13.0,1,AFB10-S10LCA-00,JUSHUO AFB10-S10LCA-00,,
3,U1,SOT-23-3,1,XC6206PxxxMR,Torex Semicon XC6206P332MR-G,,
4,"R1,R7,R4,R3,R5,R6,R2",R_0603_1608Metric,7,1K,YAGEO RC0603FR-071KL,,
5,"C1,C2",C_0805_2012Metric,2,1uf,Samsung Electro-Mechanics CL21B105KBFNNNE,,
6,J2,U-B-M9DD-W-1,1,U-B-M9DD-W-1,Korean Hroparts Elec U-B-M9DD-W-1,,
